==25585== NVPROF is profiling process 25585, command: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25585== Profiling application: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Profiling result:
==25585== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN X (0)"
    Kernel: void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)
          2                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          2                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       6.47%       6.67%       6.57%
          2                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      11.61%      11.89%      11.75%
          2                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)      13.53%      13.64%      13.58%
          2                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          2                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          2                               stall_other                                           Issue Stall Reasons (Other)       5.69%       5.89%       5.79%
          2          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)      61.30%      61.84%      61.57%
          2                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.11%       0.12%       0.12%
          2                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.49%       0.51%       0.50%
          2                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.12%       0.13%       0.12%
          2                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
